term,translation
"animal","τὸ ζῷον"
"copper block","ὁ χαλκοῦς λίθος"
"honeycomb","ὁ κηρὸς"
"potion","τὸ φάρμακον"
"beacon","ὁ διάκριτος"
"piglin","ὁ πίγλιν"
"nether","ὁ νεθερ"
"bastion","ὁ βαστίων"
"fortress","ὁ φρούριον"
"wither skeleton","ὁ σκελετὸς τοῦ ξηραίνοντος"
"netherite armor","ἡ πανοπλία τοῦ νεθερίτου"
"ancient debris","τὰ ἀρχαῖα ἐρείπια"
"blaze rod","ἡ ῥάβδος τοῦ φλογίζοντος"
"crying obsidian","ὁ κλαίων ὀβσιδιανός"
"ghast","ὁ γκάστ"
"strider","ὁ στράιντερ"
"wither","ὁ ξηραίνων"
"lodestone","ὁ λίθος τοῦ λοδ"
"zombie villager","ὁ ζόμπι κάτοικος"
"shield","ὁ ἀσπίς"
"enchanting table","ἡ τράπεζα τῆς γοητείας"
"end portal","ἡ πύλη τοῦ τέλους"
"nether portal","ἡ πύλη τοῦ νεθερ"
"eye of ender","ὁ ὀφθαλμὸς τοῦ τέλους"
"obsidian","ὁ ὀβσιδιανός"
"pickaxe","ἡ πέλεκυς"
"bucket","ὁ πίθος"
"diamond","ὁ διάμαντας"
"stone","ὁ λίθος"
"iron armor","ἡ σιδηρᾶ πανοπλία"
"diamond armor","ἡ διαμαντένια πανοπλία"
"iron ingot","ὁ σιδηροῦς ἄρσην"
"bossbar","ἡ ῥάβδος τοῦ ἄρχοντος"
"commands","τὰ ἐντολά"
"blocks","τὰ τετράγωνα"
"clone","τὸ κλώνος"
"damage","ἡ βλάβη"
"data","τὰ δεδομένα"
"datapack","τὸ πακέτο δεδομένων"
"debug","ἡ αποσφαλμάτωση"
"difficulty","ἡ δυσκολία"
"effect","τὸ ἐφέ"
"enchant","ἡ ἐπιθυμία"
"entity","τὸ ὄν"
"execute","ἡ ἐκτέλεση"
"failed","ἀπέτυχε"
"function","ἡ λειτουργία"
"invalid","ἄκυρος"
"item","τὸ ἀντικείμενο"
"list","ἡ λίστα"
"modify","ἡ τροποποίηση"
"numeric","ἀριθμητικός"
"overlap","ἡ ἐπικάλυψη"
"player","ὁ παίκτης"
"query","ἡ ἐρώτηση"
"remove","ἡ αφαίρεση"
"scale","ἡ κλίμακα"
"storage","ἡ αποθήκευση"
"success","ἡ εὐδοκία"
"target","τὸ στόχος"
"unknown","ἄγνωστος"
"visible","ὁρατός"
"whitelist","ἡ λευκὴ κατάλογος"
"reload","ἡ ἀναφόρτωση"
"player","ὁ παίκτης"
"world border","τὸ ὅριο τοῦ κόσμου"
"damage","ἡ βλάβη"
"block","ὁ λίθος"
"warning","ἡ προειδοποίηση"
"time","ὁ χρόνος"
"playtime","ὁ χρόνος παιχνιδιοῦ"
"server","ὁ διακομιστής"
"barrel","ὁ πίθος"
"beacon","τὸ φάρος"
"furnace","ἡ κάμινος"
"chest","ἡ κιβωτός"
"crafting","ἡ τεχνουργία"
"dispenser","ὁ διανομέας"
"enchant","ἡ ἐπαγωγή"
"inventory","ὁ κατάλογος"
"locked","κλειδωμένος"
"repair","ἡ ἐπισκευή"
"controls","τὰ ἐλέγχια"
"reset","ἡ ἐπαναφορά"
"biome","ἡ βιότοπος"
"depth","ἡ βάθος"
"scale","ἡ κλίμακα"
"burned to death","κατεκάη εἰς θάνατον"
"fighting","μαχόμενος"
"world","ὁ κόσμος"
"fell out of the world","ἔπεσεν ἔξω τοῦ κόσμου"
"slain","ἀπεκτάνθη"
"sonically-charged shriek","ἡ ἠχητικῶς φορτισμένη κραυγή"
"stalagmite","ὁ σταλαγμίτης"
"starved to death","ἐπείνασεν εἰς θάνατον"
"stung to death","ἐκέντησεν εἰς θάνατον"
"sweet berry bush","ἡ γλυκεῖα βάτος βερύκοκου"
"with","τὸ μαρασμός"
"no effects","οὐδεὶς ἔφεδρος"
"level","ὁ βαθμός"
"aqua affinity","ἡ ὑδάτινος συγγένεια"
"bane of arthropods","ἡ ἀπώλεια τῶν ἀρθροπόδων"
"curse of binding","ἡ κατάρα τοῦ δεσμοῦ"
"blast protection","ἡ προστασία ἐκρήξεως"
"channeling","ὁ καναλισμός"
"depth strider","ὁ βαθυπορευτής"
"efficiency","ἡ ἐπάρκεια"
"feather falling","ἡ πτώση πτεροῦ"
"fire aspect","ὁ πυρινός ὄψις"
"fire protection","ἡ πυρὸς προστασία"
"flame","ἡ φλόξ"
"fortune","ἡ τύχη"
"frost walker","ὁ παγετοῦ περιπατητής"
"impaling","ὁ ἐκκεντητής"
"infinity","ἡ ἀπειρία"
"knockback","ὁ ἀναπήδησις"
"looting","ἡ λεηλασία"
"loyalty","ἡ πίστις"
"luck of the sea","ἡ τύχη τῆς θαλάσσης"
"lure","ὁ δέλεαρ"
"mending","ἡ ἐπισκευή"
"multishot","ἡ πολυβολία"
"piercing","ὁ διατρητής"
"power","ἡ δύναμις"
"projectile protection","ἡ προστασία βέλους"
"protection","ἡ προστασία"
"punch","ὁ πληγή"
"quick charge","ἡ ταχεῖα φόρτιση"
"respiration","ἡ ἀναπνοή"
"riptide","ὁ ῥοῖχμος"
"sharpness","ἡ ὀξύτης"
"silk touch","ἡ ἁπαλή ἅφη"
"smite","ὁ πληγείς"
"soul speed","ἡ ταχύτης ψυχῆς"
"sweeping edge","ὁ σάρων ἄκρος"
"swift sneak","ὁ ταχύς λαθραῖος"
"thorns","τὰ ἄκανθα"
"unbreaking","ἡ ἀνυπέρθραυστος"
"curse of vanishing","ἡ κατάρα τοῦ ἐξαφανισμοῦ"
"allay","ὁ παρηγορητής"
"area effect cloud","ἡ νεφέλη τῆς περιοχῆς ἐπίδρασης"
"armor stand","ὁ στάντ ἀρματωσίας"
"arrow","τὸ βέλος"
"axolotl","ὁ ἀξολότλ"
"bat","ἡ νυκτερίς"
"bee","ἡ μέλισσα"
"blaze","ἡ φλόγα"
"block display","ἡ ἐμφάνιση μπλοκ"
"boat","τὸ πλοῖον"
"camel","ὁ κάμηλος"
"cat","ἡ γάτα"
"cave spider","ὁ σπηλαιώδης ἀράχνη"
"boat with chest","τὸ πλοῖον μετὰ κιβωτίου"
"minecart with chest","ἡ ἀμαξίδιον μεταλλείου μετὰ κιβωτίου"
"chicken","ἡ ὄρνις"
"cod","ὁ γάδος"
"minecart with command block","ἡ ἀμαξίδιον μεταλλείου μετὰ τοῦ μπλοκ ἐντολῶν"
"cow","ἡ βοῦς"
"creeper","ὁ ἐρπετόν"
"dolphin","ὁ δελφίς"
"donkey","ὁ ὄνος"
"dragon fireball","ἡ πυροσφαῖρα δράκοντος"
"drowned","ὁ πνιγείς"
"thrown egg","τὸ βεβλημένον ᾠόν"
"elder guardian","ὁ πρεσβύτερος φύλαξ"
"end crystal","ὁ κρύσταλλος τέλους"
"ender dragon","ὁ δράκων τοῦ ἔνδερ"
"thrown ender pearl","ἡ βεβλημένη μαργαρίτη τοῦ ἔνδερ"
"enderman","ὁ ἄνθρωπος τοῦ ἔνδερ"
"endermite","ὁ ἔνδερμιτ"
"evoker","ὁ ἐπικαλεστής"
"evoker fangs","τὰ ὀδόντια τοῦ ἐπικαλεστοῦ"
"thrown bottle o' enchanting","ἡ βεβλημένη φιάλη τοῦ ἐπαοιδοῦ"
"experience orb","ὁ σφαῖρος ἐμπειρίας"
"eye of ender","ὁ ὀφθαλμὸς τοῦ ἔνδερ"
"falling block","τὸ πίπτον μπλοκ"
"falling %s","πίπτον %s"
"fireball","ἡ πυροσφαῖρα"
"firework rocket","ὁ πυροτεχνηματικὸς πύραυλος"
"fishing bobber","ὁ ἀλιευτικὸς πλωτήρ"
"fox","ἡ ἀλώπηξ"
"frog","ὁ βάτραχος"
"minecart with furnace","ἡ ἀμαξίδιον μεταλλείου μετὰ καμίνου"
"ghast","ὁ φάντασμα"
"giant","ὁ γίγας"
"glow item frame","ὁ φωτεινὸς κορνίζα ἀντικειμένου"
"glow squid","ὁ φωτεινὸς σουπία"
"goat","ἡ αἴξ"
"guardian","ὁ φύλαξ"
"hoglin","ὁ ὕς"
"minecart with hopper","ἡ ἀμαξίδιον μεταλλείου μετὰ ἐκχωρητή"
"horse","ὁ ἵππος"
"husk","ὁ κελύφος"
"illusioner","ὁ φαντασιοποιός"
"interaction","ἡ ἐπαφή"
"iron golem","ὁ σιδηροῦς γολέμ"
"item","τὸ ἀντικείμενον"
"item display","ἡ ἐμφάνιση ἀντικειμένου"
"item frame","ἡ κορνίζα ἀντικειμένου"
"the killer bunny","ὁ λαγός ὁ φονεύς"
"leash knot","ὁ δεσμὸς λεύκης"
"lightning bolt","ὁ κεραυνός"
"llama","ἡ λάμα"
"llama spit","ὁ πτύον λάμας"
"magma cube","ὁ κύβος μάγματος"
"marker","ὁ σημειωτής"
"minecart","ἡ ἀμαξίδιον μεταλλείου"
"mooshroom","ὁ βοῦς μύκητος"
"mule","ὁ ἡμίονος"
"ocelot","ὁ ὀσελότ"
"painting","ἡ ζωγραφιά"
"panda","ὁ πάνδα"
"parrot","ὁ ψιττακός"
"phantom","τὸ φάντασμα"
"pig","ὁ ὗς"
"piglin","ὁ ὗς"
"piglin brute","ὁ ὗς ὁ ἄγριος"
"pillager","ὁ ληστής"
"player","ὁ παίκτης"
"polar bear","ὁ ἄρκτος"
"potion","ἡ φίλτρον"
"pufferfish","ὁ τετραόδοντος"
"rabbit","ὁ λαγός"
"ravager","ὁ λυμαινόμενος"
"salmon","ὁ σάλμων"
"sheep","ἡ πρόβατον"
"entities","τὰ ὄντα"
"pillager patrols","αἱ ληστῶν περιπολίαι"
"blocks","τὰ τετράγωνα"
"resource drops","τὰ ῥιπτόμενα πόρων"
"Wandering Traders","οἱ πλανώμενοι ἔμποροι"
"Vines","αἱ ἄμπελοι"
"Wardens","οἱ φύλακες"
"weather","ὁ καιρός"
"drowning damage","ἡ βλάβη πνιγμοῦ"
"fall damage","ἡ βλάβη πτώσεως"
"minutes","τὰ λεπτά"
"character_limit","ὁ ὅριο χαρακτήρων"
"button","τὸ κουμπί"
"edit_box","τὸ κουτί επεξεργασίας"
"slider","ὁ κυλιόμενος διακόπτης"
"tab","ἡ καρτέλα"
"no","οὐ"
"none","οὐδείς"
"ok","εὖ"
"proceed","προχωρῶ"
"recipebook","τὸ βιβλίο συνταγών"
"search_hint","ἀναζήτηση..."
"showing_all","δεικνύων πάντα"
"showing_blastable","δεικνύων ἐκρηκτικά"
"showing_craftable","δεικνύων κατασκευάσιμα"
"showing_smeltable","δεικνύων τηκτά"
"showing_smokable","δεικνύων καπνιζόμενα"
"social_interactions","αἱ κοινωνικαὶ διαδράσεις"
"blocked","ἀποκλεισμένος"
"hidden","κρυμμένος"
"offline","ἐκτός σύνδεσης"
"report","ἀναφέρω"
"statistics","αἱ στατιστικαί"
"back_to_server_list","πίσω εἰς τὴν λίσταν τῶν διακομιστῶν"
"back_to_realms_list","πίσω εἰς τὴν λίσταν τῶν βασιλείων"
"back_to_title_screen","πίσω εἰς τὴν οθόνην τοῦ τίτλου"
"back_to_world_list","πίσω εἰς τὴν λίσταν τῶν κόσμων"
"up","ἄνω"
"yes","ναί"
"edit_hanging_sign_message","ἐπεξεργάζομαι τὸ μήνυμα τοῦ κρεμαστοῦ σημείου"
"admire","θαυμάζω"
"call","καλῶ"
"dream","ὁνειρεύομαι"
"feel","αἰσθάνομαι"
"ponder","στοχάζομαι"
"seek","ζητῶ"
"sing","ᾄδω"
"yearn","ἐπιθυμῶ"
"apple","τὸ μῆλον"
"armor stand","ὁ στάντης τῆς πανοπλίας"
"arrow","τὸ βέλος"
"bucket of axolotl","ὁ πίθος τοῦ αξολότλ"
"baked potato","ἡ ὀπτὴ πατάτα"
"bamboo raft","ἡ βάρκα τοῦ βαμβού"
"bat spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ νυκτερίδος"
"bee spawn egg","τὸ ᾠὸν τῆς γεννήσεως τῆς μέλισσας"
"raw beef","ὁ ὠμὸς βοῦς"
"beetroot","ἡ παντζάρια"
"beetroot seeds","τὰ σπέρματα τῆς παντζαριᾶς"
"beetroot soup","ἡ σούπα τῆς παντζαριᾶς"
"birch boat","ἡ βάρκα τῆς λεύκης"
"black dye","τὸ μέλαν βάμμα"
"blaze powder","ἡ σκόνη τῆς φλόγας"
"blaze rod","ὁ ῥάβδος τῆς φλόγας"
"blue dye","τὸ κυάνεον βάμμα"
"bone","τὸ ὀστοῦν"
"bone meal","ἡ σκόνη τοῦ ὀστοῦ"
"book","τὸ βιβλίον"
"bow","τὸ τόξον"
"bowl","ἡ φιάλη"
"bread","ὁ ἄρτος"
"brewing stand","ὁ στάντης τῆς ζύμωσης"
"brick","ὁ πλίνθος"
"brown dye","τὸ φαιόν βάμμα"
"brush","ἡ βούρτσα"
"bucket","ὁ πίθος"
"bundle","ἡ δέσμη"
"carrot","ἡ καρότον"
"carrot on a stick","ἡ καρότον ἐπὶ ῥάβδου"
"cat spawn egg","τὸ ᾠὸν τῆς γεννήσεως τῆς γάτας"
"cauldron","ὁ λέβης"
"cave spider spawn egg","τὸ ᾠὸν τῆς γεννήσεως τῆς σπηλαιώδους ἀράχνης"
"chainmail boots","τὰ ὑποδήματα τῆς καδένας"
"chainmail chestplate","ἡ θώρακας τῆς καδένας"
"chainmail helmet","ὁ κράνος τῆς καδένας"
"chainmail leggings","τὰ περισκελίδια τῆς καδένας"
"charcoal","ὁ ἄνθρακας"
"cherry boat","ἡ βάρκα τῆς κερασιᾶς"
"chest minecart","ὁ ἀμαξίδιον τῆς κιβωτοῦ"
"raw chicken","ὁ ὠμὸς ὄρνις"
"chicken spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ ὀρνίθος"
"chorus fruit","ὁ καρπὸς τοῦ χοροῦ"
"clay ball","ὁ σφαῖρος τοῦ πηλοῦ"
"clock","ὁ χρονόμετρον"
"coal","ὁ ἄνθρακας"
"cocoa beans","τὰ κόκκοι τοῦ κακάο"
"raw cod","ὁ ὠμὸς γάδος"
"bucket of cod","ὁ πίθος τοῦ γάδου"
"cod spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ γάδου"
"minecart with command block","τὸ ἀμαξίδιον μετὰ τοῦ μπλόκου τῆς ἐντολῆς"
"compass","ἡ πυξίς"
"steak","ὁ στέακ"
"cooked chicken","ὁ ὀπτὸς ὄρνις"
"cooked cod","ὁ ὀπτὸς γάδος"
"cooked mutton","ὁ ὀπτὸς κριός"
"cooked porkchop","ὁ ὀπτὸς χοιρίς"
"cooked rabbit","ὁ ὀπτὸς λαγός"
"cooked salmon","ὁ ὀπτὸς σαλμών"
"cookie","τὸ μπισκότο"
"copper ingot","ὁ ἄργυρος τοῦ χαλκοῦ"
"cow spawn egg","τὸ ᾠὸν τῆς γεννήσεως τῆς βοός"
"creeper spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ κρίπερ"
"crossbow","ὁ ἄρβαλις"
"cyan dye","τὸ κυανὸν βάμμα"
"dark oak boat","ἡ βάρκα τῆς σκοτεινῆς δρυός"
"diamond","ὁ διάμαντις"
"diamond axe","ὁ πέλεκυς τοῦ διαμαντιοῦ"
"diamond boots","τὰ ὑποδήματα τοῦ διαμαντιοῦ"
"diamond chestplate","ἡ θώρακας τοῦ διαμαντιοῦ"
"diamond helmet","ὁ κράνος τοῦ διαμαντιοῦ"
"diamond hoe","ἡ ἄροτρον τοῦ διαμαντιοῦ"
"diamond horse armor","ἡ πανοπλία τοῦ ἵππου τοῦ διαμαντιοῦ"
"diamond leggings","τὰ περισκελίδια τοῦ διαμαντιοῦ"
"diamond pickaxe","ἡ πίκα τοῦ διαμαντιοῦ"
"diamond shovel","ἡ σκαπάνη τοῦ διαμαντιοῦ"
"diamond sword","ἡ μάχαιρα τοῦ διαμαντιοῦ"
"dolphin spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ δελφίνου"
"donkey spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ ὄνου"
"dragon's breath","ἡ πνοὴ τοῦ δράκοντος"
"dried kelp","ὁ ξηρὸς φύκος"
"drowned spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ πνιγμένου"
"egg","τὸ ᾠὸν"
"elder guardian spawn egg","τὸ ᾠὸν τῆς γεννήσεως τοῦ πρεσβυτέρου φύλακος"
"elytra","τὰ ἔλυτρα"
"emerald","ὁ σμάραγδος"
"frog_spawn_egg","τὸ ᾠὸν τοῦ βατράχου"
"furnace_minecart","ὁ ἀμαξίδιον μετὰ καμίνου"
"ghast_spawn_egg","τὸ ᾠὸν τοῦ φαντάσματος"
"ghast_tear","τὸ δάκρυον τοῦ φαντάσματος"
"glass_bottle","ἡ φιάλη ὑάλινη"
"glistering_melon_slice","ἡ λαμπρὰ κομμάτιον τοῦ πεπονιοῦ"
"globe_banner_pattern","τὸ σχέδιον τοῦ σημαίου τῆς γῆς"
"glow_berries","τὰ φωσφορούμενα βάτα"
"glow_ink_sac","ὁ φωσφορούμενος σάκκος μελάνος"
"glow_item_frame","ὁ φωσφορούμενος κορνίζα τοῦ ἀντικειμένου"
"glow_squid_spawn_egg","τὸ ᾠὸν τοῦ φωσφορούμενου τευθύος"
"glowstone_dust","ἡ κόνις τοῦ φωσφορούμενου λίθου"
"goat_horn","ὁ κέρας τῆς αἰγός"
"goat_spawn_egg","τὸ ᾠὸν τῆς αἰγός"
"gold_ingot","ὁ χρυσοῦς ἄρσην"
"gold_nugget","ὁ χρυσοῦς ὀβελίσκος"
"golden_apple","ἡ χρυσῆ μῆλον"
"golden_axe","ἡ χρυσῆ πέλεκυς"
"golden_boots","τὰ χρυσᾶ ὑποδήματα"
"golden_carrot","ἡ χρυσῆ καρότον"
"golden_chestplate","ἡ χρυσῆ θώραξ"
"golden_helmet","ὁ χρυσοῦς κράνος"
"golden_hoe","ἡ χρυσῆ ἄροτρον"
"golden_horse_armor","ἡ χρυσῆ πανοπλία τοῦ ἵππου"
"golden_leggings","τὰ χρυσᾶ ἀναξυρίδες"
"golden_pickaxe","ἡ χρυσῆ πίκαξ"
"golden_shovel","ἡ χρυσῆ σκαπάνη"
"golden_sword","ἡ χρυσῆ ξίφος"
"gray_dye","ὁ γκρίζος βαφή"
"green_dye","ὁ πράσινος βαφή"
"guardian_spawn_egg","τὸ ᾠὸν τοῦ φύλακος"
"gunpowder","ἡ πυρίτιδα"
"heart_of_the_sea","ἡ καρδία τῆς θαλάσσης"
"heart_pottery_shard","ἡ καρδιά τοῦ οστράκου τῆς κεραμικῆς"
"heart_pottery_sherd","ἡ καρδιά τοῦ οστράκου τῆς κεραμικῆς"
"heartbreak_pottery_shard","ἡ καρδιά τοῦ οστράκου τῆς κεραμικῆς τῆς συνθλίψεως"
"heartbreak_pottery_sherd","ἡ καρδιά τοῦ οστράκου τῆς κεραμικῆς τῆς συνθλίψεως"
"hoglin_spawn_egg","τὸ ᾠὸν τοῦ συῶν"
"honey_bottle","ἡ φιάλη τοῦ μέλιτος"
"honeycomb","ἡ κηρήθρα"
"hopper_minecart","ὁ ἀμαξίδιον μετὰ τοῦ ἐκβολέως"
"horse_spawn_egg","τὸ ᾠὸν τοῦ ἵππου"
"howl_pottery_shard","ἡ ὠρυγή τοῦ οστράκου τῆς κεραμικῆς"
"howl_pottery_sherd","ἡ ὠρυγή τοῦ οστράκου τῆς κεραμικῆς"
"husk_spawn_egg","τὸ ᾠὸν τοῦ κελύφους"
"ink_sac","ὁ σάκκος μελάνος"
"iron_axe","ἡ σιδηρᾶ πέλεκυς"
"iron_boots","τὰ σιδηρᾶ ὑποδήματα"
"iron_chestplate","ἡ σιδηρᾶ θώραξ"
"iron_golem_spawn_egg","τὸ ᾠὸν τοῦ σιδηροῦ γολέμ"
"iron_helmet","ὁ σιδηροῦς κράνος"
"iron_hoe","ἡ σιδηρᾶ ἄροτρον"
"iron_horse_armor","ἡ σιδηρᾶ πανοπλία τοῦ ἵππου"
"iron_ingot","ὁ σιδηροῦς ἄρσην"
"iron_leggings","τὰ σιδηρᾶ ἀναξυρίδες"
"iron_nugget","ὁ σιδηροῦς ὀβελίσκος"
"iron_pickaxe","ἡ σιδηρᾶ πίκαξ"
"iron_shovel","ἡ σιδηρᾶ σκαπάνη"
"iron_sword","ἡ σιδηρᾶ ξίφος"
"item_frame","ἡ κορνίζα τοῦ ἀντικειμένου"
"jungle_boat","ὁ πλοῖον τῆς ζούγκλας"
"jungle_chest_boat","ὁ πλοῖον τῆς ζούγκλας μετὰ κιβωτίου"
"knowledge_book","τὸ βιβλίον τῆς γνώσεως"
"lapis_lazuli","ὁ λάπις λαζούλι"
"lava_bucket","ὁ πυρίκαυστος πίθος"
"port","ὁ λιμήν"
"invalid","ἄκυρος"
"available","διαθέσιμος"
"scanning","ἡ σάρωση"
"start","ἀρχή"
"world","ὁ κόσμος"
"book","τὸ βιβλίο"
"privacy","ἡ ἰδιωτικότητα"
"update","ἡ ενημέρωση"
"activity","ἡ δραστηριότητα"
"download","ἡ λήψη"
"reset","ἡ επαναφορά"
"restore","ἡ ἀποκατάσταση"
"upload","ἡ ανέβασμα"
"changes","οἱ ἀλλαγές"
"backup","ἡ αντιγραφή ασφαλείας"
"description","ἡ περιγραφή"
"difficulty","ἡ δυσκολία"
"mode","ὁ τρόπος"
"version","ἡ ἔκδοση"
"name","τὸ ὄνομα"
"seed","τὸ σπέρμα"
"template","τὸ πρότυπο"
"undefined","ἀόριστος"
"uploaded","ἀνέβηκε"
"type","ὁ τύπος"
"generate","ἡ παραγωγή"
"restoring","ἡ ἀποκατάσταση"
"unknown","ἄγνωστος"
"joining","ἡ συμμετοχή"
"loading","ἡ φόρτωση"
"done","τετελεσμένο"
"list","ἡ κατάλογος"
"object","τὸ ἀντικείμενο"
"screen","ἡ οθόνη"
"tab","ἡ καρτέλα"
"ready to play","ἕτοιμος πρὸς παίζειν"
"title screen","ἡ οθόνη τίτλου"
"select","ἐπιλέγω"
"world","ὁ κόσμος"
"narrator","ὁ ἀφηγητής"
"disabled","ἀπενεργοποιημένος"
"enabled","ενεργοποιημένος"
"optimize","ὁ βελτιστοποίηση"
"confirm","ἡ επιβεβαίωση"
"failed","ἀπέτυχε"
"finished","τελείωσε"
"upgrading","ἡ ἀναβάθμιση"
"high contrast","ὁ ὑψηλὸς ἀντίθεσις"
"accessibility","ἡ προσβασιμότης"
"panorama","τὸ πανόραμα"
"text background","ὁ φόντος κειμένου"
"chat","ἡ συνομιλία"
"everywhere","πανταχοῦ"
"settings","τὰ ρυθμίσματα"
"allow","ἐπιτρέπω"
"server","ὁ διακομιστής"
"listings","τὰ καταλόγια"
"world","ὁ κόσμος"
"edit","ἐπεξεργάζομαι"
"sleep","ὁ ὕπνος"
"player","ὁ παίκτης"
"ambient","τὸ περιβάλλον"
"block","ὁ βλοκ"
"hostile","ὁ ἐχθρός"
"music","ἡ μουσική"
"weather","ὁ καιρός"
"menu","τὸ μενού"
"teleport","τὸ τηλεμεταφέρω"
"broken","ὁ κλασμένος"
"crafted","ὁ κατασκευασμένος"
"dropped","ὁ πεσών"
"killed","ὁ φονευθείς"
"mined","ὁ ἐξορυγμένος"
"used","ὁ χρησιμοποιημένος"
"general","ὁ γενικός"
"items","τὰ ἀντικείμενα"
"animals","τὰ ζῷα"
"distance","ἡ ἀπόσταση"
"items","τὰ ἀντικείμενα"
"bundle","ὁ δέσμη"
"recipe book","τὸ βιβλίο συνταγῶν"
"wooden planks","τὰ ξύλινα πλακίδια"
"tree","τὸ δένδρον"
"mouse","ὁ μῦς"
"inventory","ἡ αποθήκη"
"destroy","καταστρέφω"
"social interactions","αἱ κοινωνικαὶ ἐπαφαί"
"netherite upgrade","ἡ ἀναβάθμιση νεθερίτη"
